id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,ppsfScore,domScore,cutScore,compositeScore,ppsfVsZipMedian,zipCount
"781-Elm-Park-Dr,-Prosper,-TX-75078","781 Elm Park Dr, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3389.0,7797,2020.0,690000.0,40.0,203.6,0.4347,2.0,-1.29,1.0,86.9,42.3,74.0,68.7,-20.9,473
"2260-Rainforest-Dr,-Prosper,-TX-75078","2260 Rainforest Dr, Prosper, TX 75078",75078,Single Family,Standard,5,6,4029.0,9148,2022.0,950000.0,49.0,235.79,0.4404,2.0,-13.63,1.0,67.0,54.8,95.3,68.4,-8.4,473
"1501-Kirkwood-Ln,-Prosper,-TX-75078","1501 Kirkwood Ln, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3229.0,9344,2012.0,685950.0,118.0,212.43,0.3456,1.0,0.0,0.0,81.2,87.1,6.8,68.4,-17.5,473
"15500-City-Garden-Ln,-Prosper,-TX-75078","15500 City Garden Ln, Prosper, TX 75078",75078,Single Family,Standard,4,3,2949.0,9540,2016.0,575000.0,33.0,194.98,0.3091,2.0,-1.71,1.0,90.1,35.7,74.8,68.0,-24.3,473
"1011-Yellowcress-Dr,-Prosper,-TX-75078","1011 Yellowcress Dr, Prosper, TX 75078",75078,Single Family,Standard,3,2.5,2278.0,8128,2016.0,525000.0,189.0,230.47,0.2803,1.0,0.0,0.0,71.5,98.1,6.8,67.8,-10.5,473
"751-Devonshire-Ct,-Prosper,-TX-75078","751 Devonshire Ct, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3225.0,10062,2016.0,664900.0,29.0,206.17,0.3205,2.0,-8.29,1.0,85.8,32.3,88.8,67.7,-19.9,473
"15604-Governors-Island-Way,-Prosper,-TX-75078","15604 Governors Island Way, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3505.0,6621,2016.0,669000.0,71.0,190.87,0.5294,1.0,0.0,0.0,92.2,70.6,6.8,67.5,-25.9,473
"1650-Chisholm-Trl,-Prosper,-TX-75078","1650 Chisholm Trl, Prosper, TX 75078",75078,Single Family,Standard,5,4.5,4042.0,13852,2016.0,750000.0,19.0,185.55,0.2918,2.0,-10.61,1.0,94.7,18.4,92.2,67.5,-27.9,473
"1041-Lone-Grove-Ln,-Prosper,-TX-75078","1041 Lone Grove Ln, Prosper, TX 75078",75078,Single Family,Standard,4,3,3291.0,7841,2020.0,799000.0,68.0,242.78,0.4197,2.0,-3.14,1.0,60.9,68.3,78.6,67.0,-5.7,473
"16721-Millenium-Park-Pl,-Prosper,-TX-75078","16721 Millenium Park Pl, Prosper, TX 75078",75078,Single Family,Standard,5,4,3476.0,11413,2016.0,599900.0,14.0,172.58,0.3046,2.0,-9.38,1.0,97.9,13.5,90.9,67.0,-33.0,473
"841-Wind-Brook-Ln,-Prosper,-TX-75078","841 Wind Brook Ln, Prosper, TX 75078",75078,Single Family,Standard,5,3.5,4382.0,14854,2005.0,684999.0,53.0,156.32,0.295,1.0,0.0,0.0,100.0,58.4,6.8,66.8,-39.3,473
"761-Cavitt-Ct,-Prosper,-TX-75078","761 Cavitt Ct, Prosper, TX 75078",75078,Townhouse,Standard,3,2.5,1815.0,3485,2022.0,470000.0,103.0,258.95,0.5208,2.0,-3.09,1.0,49.3,81.8,78.2,66.4,0.6,473
"801-Willowmist-Dr,-Prosper,-TX-75078","801 Willowmist Dr, Prosper, TX 75078",75078,Single Family,Standard,4,4.5,4034.0,14810,2002.0,815000.0,77.0,202.03,0.2724,1.0,0.0,0.0,87.7,72.3,6.8,66.1,-21.5,473
"5621-Crestwood-Dr,-Prosper,-TX-75078","5621 Crestwood Dr, Prosper, TX 75078",75078,Single Family,Standard,3,2,1851.0,6011,2009.0,360000.0,68.0,194.49,0.3079,1.0,0.0,0.0,90.5,68.3,6.8,66.0,-24.5,473
"2921-Renmuir-Dr,-Prosper,-TX-75078","2921 Renmuir Dr, Prosper, TX 75078",75078,Single Family,Standard,4,3,2837.0,7797,2019.0,599900.0,29.0,211.46,0.3639,2.0,-7.69,1.0,82.5,32.3,87.7,66.0,-17.9,473
"2901-Quinton-St,-Prosper,-TX-75078","2901 Quinton St, Prosper, TX 75078",75078,Single Family,Standard,4,3,2317.0,7884,2023.0,639000.0,114.0,275.79,0.2939,2.0,-11.86,1.0,38.1,86.3,93.4,66.0,7.1,473
